"speaker","speaker_title","topic","talk_summary","speaker_bio","talk_url","speaker_twitter","speaker_ted_url","posted","tags"
"Enric Sala","Marine ecologist","Glimpses of a pristine ocean","Enric Sala shares glorious images — and surprising insights and data — from some of the most pristine areas of the ocean. He shows how we can restore more of our oceans to this healthy, balanced state, and the powerful ecological and economic benefits of doing so.","Working at the intersection of science and policy, Enric Sala searches for the last pristine marine environments on Earth — and brings back data to help governments protect them.","https://ted.com/talks/enric_sala","not available","https://ted.com/speakers/enric_sala","May 2010","Persuasive, Informative"
"Nathan Myhrvold","Polymath","Could this laser zap malaria?","Nathan Myhrvold and team's latest inventions — as brilliant as they are bold — remind us that the world needs wild creativity to tackle big problems like malaria. And just as that idea sinks in, he rolls out a live demo of a new, mosquito-zapping gizmo you have to see to believe.","Nathan Myhrvold is a professional jack-of-all-trades. After leaving Microsoft in 1999, he's been a world barbecue champion, a wildlife photographer, a chef, a contributor to SETI, and a volcano explorer.","https://ted.com/talks/nathan_myhrvold_could_this_laser_zap_malaria","not available","https://ted.com/speakers/nathan_myhrvold","May 2010","Ingenious, Fascinating"
"Nicholas Christakis","Physician, social scientist","The hidden influence of social networks","We're all embedded in vast social networks of friends, family, co-workers and more. Nicholas Christakis tracks how a wide variety of traits — from happiness to obesity — can spread from person to person, showing how your location in the network might impact your life in ways you don't even know.","Nicholas Christakis explores how the large-scale, face-to-face social networks in which we are embedded affect our lives, and what we can do to take advantage of this fact.","https://ted.com/talks/nicholas_christakis_the_hidden_influence_of_social_networks","not available","https://ted.com/speakers/nicholas_christakis","May 2010","Informative, Fascinating"
"Thomas Dolby and Ethel","Electronic music pioneer","""Love Is a Loaded Pistol""","To write his first studio album in decades, ""A Map of the Floating City,"" Thomas Dolby has been working in the inspirational setting of a restored lifeboat. At TED2010 he premieres a gorgeous, evocative song from that album — about one night with a legend. He's backed by members of the modern string quartet Ethel.","Thomas Dolby has spent his career at the intersection of music and technology. He was an early star on MTV, then moved to Silicon Valley, then went back on the road with his album, ""A Map of the Floating City.""","https://ted.com/talks/pistol","not available","https://ted.com/speakers/thomas_dolby","May 2010","Beautiful, Inspiring"
"Anil Gupta","Innovation advocate","India's hidden hotbeds of invention","Anil Gupta is on the hunt for the developing world's unsung inventors — indigenous entrepreneurs whose ingenuity, hidden by poverty, could change many people's lives. He shows how the Honey Bee Network helps them build the connections they need — and gain the recognition they deserve.","Anil Gupta created the Honey Bee Network to support grassroots innovators who are rich in knowledge, but not in resources.","https://ted.com/talks/anil_gupta_india_s_hidden_hotbeds_of_invention","not available","https://ted.com/speakers/anil_gupta","May 2010","Inspiring, Informative"
"Jeremy Jackson","Marine ecologist","How we wrecked the ocean","In this bracing talk, coral reef ecologist Jeremy Jackson lays out the shocking state of the ocean today: overfished, overheated, polluted, with indicators that things will get much worse. Astonishing photos and stats make the case.","A leader in the study of the ecology and evolution of marine organisms, Jeremy Jackson  is known for his deep understanding of geological time.","https://ted.com/talks/jeremy_jackson","not available","https://ted.com/speakers/jeremy_jackson","May 2010","Persuasive, Informative"
"Simon Sinek","Leadership expert","How great leaders inspire action","Simon Sinek has a simple but powerful model for inspirational leadership — starting with a golden circle and the question ""Why?""  His examples include Apple, Martin Luther King, and the Wright brothers ...","Simon Sinek explores how leaders can inspire cooperation, trust and change. He's the author of the classic ""Start With Why""; his latest book is ""Leaders Eat Last.""","https://ted.com/talks/simon_sinek_how_great_leaders_inspire_action","not available","https://ted.com/speakers/simon_sinek","May 2010","Inspiring, Persuasive"
"Esther Duflo","Development economist","Social experiments to fight poverty","Alleviating poverty is more guesswork than science, and lack of data on aid's impact raises questions about how to provide it. But Clark Medal-winner Esther Duflo says it's possible to know which development efforts help and which hurt — by testing solutions with randomized trials.","Esther Duflo takes economics out of the lab and into the field to discover the causes of poverty and means to eradicate it.","https://ted.com/talks/esther_duflo_social_experiments_to_fight_poverty","not available","https://ted.com/speakers/esther_duflo","May 2010","Persuasive, Informative"
"Sebastian Wernicke","Data scientist","Lies, damned lies and statistics (about TEDTalks)","In a brilliantly tongue-in-cheek analysis, Sebastian Wernicke turns the tools of statistical analysis on TEDTalks, to come up with a metric for creating ""the optimum TEDTalk"" based on user ratings. How do you rate it? ""Jaw-dropping""? ""Unconvincing""? Or just plain ""Funny""?","After making a splash in the field of bioinformatics, Sebastian Wernicke moved on to the corporate sphere, where he motivates and manages multidimensional projects.","https://ted.com/talks/lies_damned_lies_and_statistics_about_tedtalks","not available","https://ted.com/speakers/sebastian_wernicke","Apr 2010","Funny, Ingenious"
"George Whitesides","Chemist","Toward a science of simplicity","Simplicity: We know it when we see it — but what is it, exactly? In this funny, philosophical talk, George Whitesides chisels out an answer.","In his legendary career in chemistry, George Whitesides has been a pioneer in microfabrication and nanoscale self-assembly. Now, he's fabbing a diagnostic lab on a chip.","https://ted.com/talks/george_whitesides_toward_a_science_of_simplicity","not available","https://ted.com/speakers/george_whitesides","Apr 2010","Informative, Inspiring"
"Roz Savage","Ocean rower","Why I'm rowing across the Pacific","Five years ago, Roz Savage quit her high-powered London job to become an ocean rower. She's crossed the Atlantic solo, and just started the third leg of a Pacific solo row, the first for a woman. Why does she do it? Hear her reasons, both deeply personal and urgently activist.","Roz Savage gave up her life as a management consultant to row across the Atlantic in 2005. Her mission now is to row across the Pacific, from the West Coast to Australia, raising awareness along the way of plastic pollution, climate change and eco-heroism.","https://ted.com/talks/roz_savage_why_i_m_rowing_across_the_pacific","not available","https://ted.com/speakers/roz_savage","Apr 2010","Inspiring, Courageous"
"Stephen Wolfram","Scientist, inventor","Computing a theory of all knowledge","Stephen Wolfram, creator of Mathematica, talks about his quest to make all knowledge computational — able to be searched, processed and manipulated. His new search engine, Wolfram Alpha, has no lesser goal than to model and explain the physics underlying the universe.","Stephen Wolfram is the creator of Mathematica and Wolfram|Alpha, the author of A New Kind of Science, and the founder and CEO of Wolfram Research.","https://ted.com/talks/stephen_wolfram_computing_a_theory_of_everything","not available","https://ted.com/speakers/stephen_wolfram","Apr 2010","Fascinating, Ingenious"
"Kavita Ramdas","Philanthropist","Radical women, embracing tradition","Investing in women can unlock infinite potential around the globe. But how can women walk the line between Western-style empowerment and traditional culture? Kavita Ramdas of the Global Fund for Women talks about three encounters with powerful women who fight to make the world better — while preserving the traditions that sustain them.","Kavita Ramdas directs the Global Fund for Women, the largest foundation in the world supporting women's human rights across all borders.","https://ted.com/talks/kavita_ramdas_radical_women_embracing_tradition","not available","https://ted.com/speakers/kavita_ramdas","Apr 2010","Inspiring, Courageous"
"Omar Ahmad","Technologist, city councilman","Political change with pen and paper","Want your local politician to pay attention to an issue you care about? Send a monthly handwritten letter, says former mayor Omar Ahmad — it's more effective than email, phone, or even writing a check. He shares four steps to writing a letter that works.","An internet infrastructure maven and activist, Omar Ahmad was the mayor of San Carlos, California.","https://ted.com/talks/omar_ahmad_political_change_with_pen_and_paper","not available","https://ted.com/speakers/omar_ahmad","Apr 2010","Informative, Persuasive"
"Tom Wujec","Designer","Build a tower, build a team","Tom Wujec presents some surprisingly deep research into the ""marshmallow problem"" — a simple team-building exercise that involves dry spaghetti, one yard of tape and a marshmallow. Who can build the tallest tower with these ingredients? And why does a surprising group always beat the average?","Tom Wujec studies how we share and absorb information. He's an innovative practitioner of business visualization — using design and technology to help groups solve problems and understand ideas. He is a Fellow at Autodesk.","https://ted.com/talks/tom_wujec_build_a_tower","not available","https://ted.com/speakers/tom_wujec","Apr 2010","Inspiring, Informative"
"Frederick Balagadde","Inventor","Bio-lab on a microchip","Drugs alone can't stop disease in sub-Saharan Africa: We need diagnostic tools to match. TED Senior Fellow Frederick Balagadde shows how we can multiply the power and availability of an unwieldy, expensive diagnostic lab — by miniaturizing it to the size of a chip.","TED Senior Fellow Frederick Balagadde invented the micro-chemostat, a first-of-its-kind, dime-sized piece of transparent plastic that can orchestrate the behavior of living cells.","https://ted.com/talks/frederick_balagadde_bio_lab_on_a_microchip","not available","https://ted.com/speakers/frederick_balagadde","Apr 2010","Ingenious, Inspiring"
"James Randi","Skeptic and conjuror","Homeopathy, quackery and fraud","Legendary skeptic James Randi takes a fatal dose of homeopathic sleeping pills onstage, kicking off a searing 18-minute indictment of irrational beliefs. He throws out a challenge to the world's psychics: Prove what you do is real, and I'll give you a million dollars. (No takers yet.)","Legendary skeptic James Randi has devoted his life to debunking frauds and investigating paranormal and pseudoscientific claims.","https://ted.com/talks/james_randi","not available","https://ted.com/speakers/james_randi","Apr 2010","Funny, Persuasive"
"Edith Widder","Marine biologist","Glowing life in an underwater world","Some 80 to 90 percent of undersea creatures make light — and we know very little about how or why. Bioluminescence expert Edith Widder explores this glowing, sparkling, luminous world, sharing glorious images and insight into the unseen depths (and brights) of the ocean.","Edith Widder combines her expertise in research and technological innovation with a commitment to stopping and reversing the degradation of our marine environment. ","https://ted.com/talks/edith_widder_glowing_life_in_an_underwater_world","http://twitter.com/#!/teamorca","https://ted.com/speakers/edith_widder","Apr 2010","Fascinating, Beautiful"
"Eric Whitacre","not available","A choir as big as the Internet","185 voices from 12 countries join a choir that spans the globe: ""Lux Aurumque,"" composed and conducted by Eric Whitacre, merges hundreds of tracks individually recorded and posted to YouTube. It's an astonishing illustration of how technology can connect us.","not available","https://ted.com/talks/a_choir_as_big_as_the_internet","not available","https://ted.com","Apr 2010","Beautiful, Inspiring"
"Thelma Golden","Curator","How art gives shape to cultural change","Thelma Golden, curator at the Studio Museum in Harlem, talks through three recent shows that explore how art examines and redefines culture. The ""post-black"" artists she works with are using their art to provoke a new dialogue about race and culture — and about the meaning of art itself.","Opening minds and showcasing new voices — it's all part of the job description for Studio Museum in Harlem director and chief curator Thelma Golden. ","https://ted.com/talks/thelma_golden_how_art_gives_shape_to_cultural_change","not available","https://ted.com/speakers/thelma_golden","Apr 2010","Inspiring, Informative"
"Catherine Mohr","Roboticist","The tradeoffs of building green","In a short, funny, data-packed talk at TED U, Catherine Mohr walks through all the geeky decisions she made when building a green new house — looking at real energy numbers, not hype. What choices matter most? Not the ones you think.","Catherine Mohr works on surgical robots and robotic surgical procedures, using robots to make surgery safer — and to go places where human wrists and eyes simply can't.","https://ted.com/talks/catherine_mohr_builds_green","not available","https://ted.com/speakers/catherine_mohr","Apr 2010","Informative, Persuasive"
"Jonathan Klein","Executive","Photos that changed the world","Photographs do more than document history — they make it. At TED University, Jonathan Klein of Getty Images shows some of the most iconic, and talks about what happens when a generation sees an image so powerful it can't look away — or back.","Jonathan Klein runs Getty Images, a stock photo agency whose vast archive of still photography and illustrations is a mainstay of the creative class.","https://ted.com/talks/jonathan_klein_photos_that_changed_the_world","not available","https://ted.com/speakers/jonathan_klein","Apr 2010","Inspiring, Persuasive"
"Michael Specter","Writer","The danger of science denial","Vaccine-autism claims, ""Frankenfood"" bans, the herbal cure craze: All point to the public's growing fear (and, often, outright denial) of science and reason, says Michael Specter. He warns the trend spells disaster for human progress.","Michael Specter is a staff writer for the New Yorker. His new book, Denialism, asks why we have increasingly begun to fear scientific advances instead of embracing them.","https://ted.com/talks/michael_specter_the_danger_of_science_denial","not available","https://ted.com/speakers/michael_specter","Apr 2010","Persuasive, Informative"
"Natalie Merchant","Singer/songwriter","Singing old poems to life","Natalie Merchant sings from her new album, ""Leave Your Sleep."" Lyrics from near-forgotten 19th-century poetry pair with her unmistakable voice for a performance that brought the TED audience to its feet.","Natalie Merchant's career spans three decades — as the leader of 10,000 Maniacs and in her own solo work — of making warmly personal music.","https://ted.com/talks/natalie_merchant_sings_old_poems_to_life","not available","https://ted.com/speakers/natalie_merchant","Apr 2010","Beautiful, Inspiring"
"Jonathan Drori","Educator","Every pollen grain has a story","Pollen goes unnoticed by most of us, except when hay fever strikes. But microscopes reveal it comes in stunning colors and shapes — and travels remarkably well. Jonathan Drori gives an up-close glimpse of these fascinating flecks of plant courtship.","Jonathan Drori commissioned the BBC's very first websites, one highlight in a long career devoted to online culture and educational media — and understanding how we learn.","https://ted.com/talks/jonathan_drori_every_pollen_grain_has_a_story","not available","https://ted.com/speakers/jonathan_drori","Apr 2010","Informative, Fascinating"
"Dennis Hong","Roboticist","My seven species of robot — and how we created them","Meet seven all-terrain robots — like the humanoid, soccer-playing DARwIn and the cliff-gripping CLIMBeR — built by Dennis Hong's robotics team at RoMeLa, based at Virginia Tech. Watch to the end for the five creative secrets to his lab's success.","Dennis Hong is the founder and director of RoMeLa — a Virginia Tech robotics lab that has pioneered several breakthroughs in robot design and engineering. ","https://ted.com/talks/dennis_hong_my_seven_species_of_robot","not available","https://ted.com/speakers/dennis_hong","Apr 2010","Ingenious, Inspiring"
"Dean Kamen","Inventor","The emotion behind invention","Soldiers who've lost limbs in service face a daily struggle unimaginable to most of us. At TEDMED, Dean Kamen talks about the profound people and stories that motivated his work to give parts of their lives back with his design for a remarkable prosthetic arm.","Dean Kamen landed in the limelight with the Segway, but he has been innovating since high school, with more than 150 patents under his belt. Recent projects include portable energy and water purification for the developing world, and a prosthetic arm for maimed soldiers.","https://ted.com/talks/dean_kamen_the_emotion_behind_invention","not available","https://ted.com/speakers/dean_kamen","Apr 2010","Inspiring, Courageous"
"Elizabeth Pisani","Author","Sex, drugs and HIV — let's get rational","Armed with bracing logic, wit and her ""public-health nerd"" glasses, Elizabeth Pisani reveals the myriad of inconsistencies in today's political systems that prevent our dollars from effectively fighting the spread of HIV. Her research with at-risk populations — from junkies in prison to sex workers on the street in Cambodia — demonstrates the sometimes counter-intuitive measures that could stall the spread of this devastating disease.","In Elizabeth Pisani's latest book, she explores the ""improbable nation"" of Indonesia.","https://ted.com/talks/elizabeth_pisani_sex_drugs_and_hiv_let_s_get_rational_1","https://twitter.com/ElizabethPisani","https://ted.com/speakers/elizabeth_pisani","Apr 2010","Persuasive, Informative"
"Jesse Schell","not available","When games invade real life","Games are invading the real world — and the runaway popularity of Farmville and Guitar Hero is just the beginning, says Jesse Schell. At the DICE Summit, he makes a startling prediction: a future where 1-ups and experience points break ""out of the box"" and into every part of our daily lives.","not available","https://ted.com/talks/jesse_schell_when_games_invade_real_life","not available","https://ted.com","Apr 2010","Funny, Informative"
"Adora Svitak","Child prodigy","What adults can learn from kids","Child prodigy Adora Svitak says the world needs ""childish"" thinking: bold ideas, wild creativity and especially optimism. Kids' big dreams deserve high expectations, she says, starting with grownups' willingness to learn from children as much as to teach.","A prolific short story writer and blogger since age seven, Adora Svitak (now 12) speaks around the United States to adults and children as an advocate for literacy.","https://ted.com/talks/adora_svitak","not available","https://ted.com/speakers/adora_svitak","Apr 2010","Inspiring, Courageous"
"Derek Sivers","Entrepreneur","How to start a movement","With help from some surprising footage, Derek Sivers explains how movements really get started. (Hint: it takes two.)","Through his new project, MuckWork, Derek Sivers wants to lessen the burdens (and boredom) of creative people.","https://ted.com/talks/derek_sivers_how_to_start_a_movement","http://twitter.com/sivers","https://ted.com/speakers/derek_sivers","Apr 2010","Inspiring, Funny"
"Kirk Citron","Media expert","And now, the real news","How many of today's headlines will matter in 100 years? 1000? Kirk Citron's ""Long News"" project collects stories that not only matter today, but will resonate for decades — even centuries — to come. At TED2010, he highlights recent headlines with the potential to shape our future.","Kirk Citron began his career as a fast-rising advertising executive, but now writes and provides media consultation for select non-profits.","https://ted.com/talks/kirk_citron_and_now_the_real_news","not available","https://ted.com/speakers/kirk_citron","Apr 2010","Informative, Persuasive"
"Shukla Bose","Education activist","Teaching one child at a time","Educating the poor is more than just a numbers game, says Shukla Bose. She tells the story of her groundbreaking Parikrma Humanity Foundation, which brings hope to India's slums by looking past the daunting statistics and focusing on treating each child as an individual.","Shukla Bose is the founder and head of the Parikrma Humanity Foundation, a nonprofit that runs four extraordinary schools for poor children.","https://ted.com/talks/shukla_bose_teaching_one_child_at_a_time","not available","https://ted.com/speakers/shukla_bose","Mar 2010","Inspiring, Courageous"
"Kevin Bales","Anti-slavery activist","How to combat modern slavery","In this moving yet pragmatic talk, Kevin Bales explains the business of modern slavery, a multibillion-dollar economy that underpins some of the worst industries on earth. He shares stats and personal stories from his on-the-ground research — and names the price of freeing every slave on earth right now.","Kevin Bales is the co-founder of Free the Slaves, whose mission is to end all forms of human slavery within the next 25 years. He's the author of ""Ending Slavery: How We Free Today's Slaves.""","https://ted.com/talks/kevin_bales_how_to_combat_modern_slavery","not available","https://ted.com/speakers/kevin_bales","Mar 2010","Inspiring, Persuasive"
"Patsy Rodenburg","not available","Why I do theater","Patsy Rodenburg says the world needs actors more than ever. In this talk at Michael Howard Studios, she tells the story of a profound encounter that reveals the deeper role theater can play in people's lives.","not available","https://ted.com/talks/patsy_rodenburg_why_i_do_theater","not available","https://ted.com","Mar 2010","Inspiring, Beautiful"
"Robert Gupta","Violinist","Music is medicine, music is sanity","Robert Gupta, violinist with the LA Philharmonic, talks about a violin lesson he once gave to a brilliant, schizophrenic musician — and what he learned. Called back onstage later, Gupta plays his own transcription of the prelude from Bach's Cello Suite No. 1.","Violinist Robert Gupta joined the LA Philharmonic at the age of 19 — and maintains a passionate parallel interest in neurobiology and mental health issues. He's a TED Senior Fellow.","https://ted.com/talks/robert_gupta","not available","https://ted.com/speakers/robert_gupta","Mar 2010","Inspiring, Beautiful"
"Joel Levine","Planetary and atmospheric scientist","Why we need to go back to Mars","Planetary scientist Joel Levine shows some intriguing — and puzzling — new discoveries about Mars: craters full of ice, traces of ancient oceans, and compelling hints at the presence, sometime in the past, of life. He makes the case for going back to Mars to find out more.","Joel Levine studies the atmospheres of Earth and Mars, looking at their origin, evolution, structure and chemistry and climate change. He's the principal investigator of the proposed ARES Mars Airplane Mission.","https://ted.com/talks/joel_levine","not available","https://ted.com/speakers/joel_levine","Mar 2010","Fascinating, Informative"
"Alan Siegel","Executive, simplicity guru","Let's simplify legal jargon!","Tax forms, credit agreements, healthcare legislation: They're crammed with gobbledygook, says Alan Siegel, and incomprehensibly long. He calls for a simple, sensible redesign — and plain English — to make legal paperwork intelligible to the rest of us.","A branding expert and one of the leading authorities on business communication, Alan Siegel wants to put plain English into legal documents for government and business.","https://ted.com/talks/alan_siegel_let_s_simplify_legal_jargon","not available","https://ted.com/speakers/alan_siegel","Mar 2010","Persuasive, Informative"
"Juliana Machado Ferreira","Biologist","The fight to end rare-animal trafficking in Brazil","Biologist Juliana Machado Ferreira, a TED Senior Fellow, talks about her work helping to save birds and other animals stolen from the wild in Brazil. Once these animals are seized from smugglers, she asks, then what?","Brazilian-born biologist Juliana Machado Ferreira wants, simply, to save the world one bird at a time. She is a TED Senior Fellow.","https://ted.com/talks/juliana_machado_ferreira","not available","https://ted.com/speakers/juliana_machado_ferreira","Mar 2010","Informative, Inspiring"
"Sam Harris","Neuroscientist, philosopher","Science can answer moral questions","Questions of good and evil, right and wrong are commonly thought unanswerable by science. But Sam Harris argues that science can — and should — be an authority on moral issues, shaping human values and setting out what constitutes a good life.","Sam Harris's work focuses on how our growing understanding of ourselves and the world is changing our sense of how we should live.","https://ted.com/talks/sam_harris_science_can_show_what_s_right","https://twitter.com/SamHarrisOrg","https://ted.com/speakers/sam_harris","Mar 2010","Persuasive, Inspiring"
"Shekhar Kapur","Director and writer","We are the stories we tell ourselves","Where does creative inspiration spring from? At TEDIndia, Hollywood/Bollywood director Shekhar Kapur (""Elizabeth,"" ""Mr. India"") pinpoints his source of creativity: sheer, utter panic. He shares a powerful way to unleash your inner storyteller.","Shekhar Kapur is a visionary filmmaker and storyteller who works at the intersection of art, myth and activism.","https://ted.com/talks/shekhar_kapur_we_are_the_stories_we_tell_ourselves","not available","https://ted.com/speakers/shekhar_kapur","Mar 2010","Inspiring, Fascinating"
"Ken Kamler","Adventure physician","Medical miracle on Everest","The second deadliest day in the history of Mount Everest climbs happened in 1996 — and Ken Kamler was the only doctor on the mountain that day. He shares the incredible story of the climbers' battle to save lives in extreme conditions, and uses brain imaging technology to map the medical miracle of one man who survived roughly 36 hours buried in the snow.","Ken Kamler has served as doctor on some of the world’s most daring expeditions, but also performs delicate microsurgery when at home in New York. ","https://ted.com/talks/ken_kamler_medical_miracle_on_everest","not available","https://ted.com/speakers/ken_kamler","Mar 2010","Inspiring, Courageous"
"Jane McGonigal","Game Designer","Gaming can make a better world","Games like World of Warcraft give players the means to save worlds, and incentive to learn the habits of heroes. What if we could harness this gamer power to solve real-world problems? Jane McGonigal says we can, and explains how.","Reality is broken, says Jane McGonigal, and we need to make it work more like a game. Her work shows us how.","https://ted.com/talks/jane_mcgonigal_gaming_can_make_a_better_world","http://twitter.com/AvantGame","https://ted.com/speakers/jane_mcgonigal","Mar 2010","Inspiring, Fascinating"
"Douglas Adams","not available","Parrots, the universe and everything","Blind river dolphins, reclusive lemurs, a parrot as fearless as it is lovelorn ... Douglas Adams' close encounters with these rare and unusual animals reveal that evolution, ever ingenious, can be fickle too — in a University of California talk that sparkles with his trademark satiric wit.","not available","https://ted.com/talks/douglas_adams_parrots_the_universe_and_everything","not available","https://ted.com","Mar 2010","Funny, Informative"
"Eric Dishman","Social scientist","Take health care off the mainframe","At TEDMED, Eric Dishman makes a bold argument: The US health care system is like computing circa 1959, tethered to big, unwieldy central systems: hospitals, doctors, nursing homes. As our aging population booms, it's imperative, he says, to create personal, networked, home-based health care for all.","Eric Dishman does health care research for Intel — studying how new technology can solve big problems in the system for the sick, the aging and, well, all of us.","https://ted.com/talks/eric_dishman_take_health_care_off_the_mainframe","http://twitter.com/ericdishman","https://ted.com/speakers/eric_dishman","Mar 2010","Persuasive, Informative"
"Mark Roth","Biochemist, cell biologist","Suspended animation is within our grasp","Mark Roth studies suspended animation: the art of shutting down life processes and then starting them up again. It's wild stuff, but it's not science fiction. Induced by careful use of an otherwise toxic gas, suspended animation can potentially help trauma and heart attack victims survive long enough to be treated.","Mark Roth's research has reawakened an unusual notion from the annals of science: reversible metabolic hibernation. Yes, putting living organisms into suspended animation — and bringing them back safely.","https://ted.com/talks/mark_roth_suspended_animation","not available","https://ted.com/speakers/mark_roth","Mar 2010","Fascinating, Ingenious"
"Gary Vaynerchuk","not available","Do what you love (no excuses!)","At the Web 2.0 Expo, entrepreneur Gary Vaynerchuk gives a shot in the arm to dreamers and up-and-comers who face self-doubt. The Internet has made the formula for success simpler than ever, he argues. So there's now no excuse not to do what makes you happy.","not available","https://ted.com/talks/gary_vaynerchuk_do_what_you_love_no_excuses","not available","https://ted.com","Mar 2010","Inspiring, Funny"
"Eric Mead","Magician","The magic of the placebo","Sugar pills, injections of nothing — studies show that, more often than you'd expect, placebos really work. At TEDMED, magician Eric Mead does a trick to prove that, even when you know something's not real, you can still react as powerfully as if it is. (Warning: This talk is not suitable for viewers who are disturbed by needles or blood.)","Eric Mead is a prolific magician, mentalist and comedian who worked his way up from doing magic on the street to appearing at exclusive events around the world. ","https://ted.com/talks/eric_mead_the_magic_of_the_placebo","not available","https://ted.com/speakers/eric_mead","Mar 2010","Funny, Fascinating"
"Dan Barber","Chef","How I fell in love with a fish","Chef Dan Barber squares off with a dilemma facing many chefs today: how to keep fish on the menu. With impeccable research and deadpan humor, he chronicles his pursuit of a sustainable fish he could love, and the foodie's honeymoon he's enjoyed since discovering an outrageously delicious fish raised using a revolutionary farming method in Spain.","Dan Barber is a chef and a scholar — relentlessly pursuing the stories and reasons behind the foods we grow and eat. ","https://ted.com/talks/dan_barber_how_i_fell_in_love_with_a_fish","http://twitter.com/@DanBarber","https://ted.com/speakers/dan_barber","Mar 2010","Inspiring, Informative"
"Gary Lauder","Venture capitalist","Take Turns","Fifty percent of traffic accidents happen at intersections. Gary Lauder shares a brilliant and cheap idea for helping drivers move along smoothly: a new traffic sign that combines the properties of ""Stop"" and ""Yield.""","Gary Lauder is the managing partner of Lauder Partners, a VC firm, and the co-creator of the Socrates Society at the Aspen Institute.","https://ted.com/talks/gary_lauder_s_new_traffic_sign_take_turns","not available","https://ted.com/speakers/gary_lauder","Mar 2010","Ingenious, Persuasive"
"Tim Berners-Lee","Inventor","The year open data went worldwide","At TED2009, Tim Berners-Lee called for ""raw data now"" — for governments, scientists and institutions to make their data openly available on the web. At TED University in 2010, he shows a few of the interesting results when the data gets linked up.","Tim Berners-Lee invented the World Wide Web. He leads the World Wide Web Consortium (W3C), overseeing the Web's standards and development.","https://ted.com/talks/tim_berners_lee_the_year_open_data_went_worldwide","not available","https://ted.com/speakers/tim_berners_lee","Mar 2010","Inspiring, Informative"
"Srikumar Rao","Happiness teacher","Plug into your hard-wired happiness","We all strive for happiness — but we spend most of our lives learning to be unhappy, says Srikumar Rao. In this practical talk, he teaches how to break free of the ""I'd be happy if ..."" mental model, and embrace our hard-wired happiness.","Executive, educator, writer and life coach Srikumar S. Rao asks, ""Are you ready to succeed?"" — and in his famous course ""Creativity and Personal Mastery,"" he teaches his students how to do so.","https://ted.com/talks/srikumar_rao_plug_into_your_hard_wired_happiness","not available","https://ted.com/speakers/srikumar_rao","Mar 2010","Inspiring, Persuasive"
"The LXD","Dance adventurers","In the Internet age, dance evolves ...","The LXD (the Legion of Extraordinary Dancers) electrify the TED2010 stage with an emerging global street-dance culture, revved up by the Internet.  In a preview of Jon Chu's upcoming Web series, this astonishing troupe show off their superpowers.","The LXD (the Legion of Extraordinary Dancers) are building an interactive web series that represents the next evolution of dance.
","https://ted.com/talks/the_lxd_in_the_internet_age_dance_evolves","not available","https://ted.com/speakers/lxd","Mar 2010","Beautiful, Inspiring"
"James Cameron","Director","Before Avatar ... a curious boy","James Cameron's big-budget (and even bigger-grossing) films create unreal worlds all their own. In this personal talk, he reveals his childhood fascination with the fantastic — from reading science fiction to deep-sea diving — and how it ultimately drove the success of his blockbuster hits ""Aliens,"" ""The Terminator,"" ""Titanic"" and ""Avatar.""","James Cameron is the director of Avatar, Titanic, Terminator, The Abyss and many other blockbusters. While his outsize films push the bounds of technology, they're always anchored in human stories with heart and soul.","https://ted.com/talks/james_cameron_before_avatar_a_curious_boy","not available","https://ted.com/speakers/james_cameron","Mar 2010","Inspiring, Fascinating"
"Richard Feynman","not available","Physics is fun to imagine","In this archival footage from BBC TV, celebrated physicist Richard Feynman explains what fire, magnets, rubber bands (and more) are like at the scale of the jiggling atoms they're made of. This accessible, enchanting conversation in physics reveals a teeming nano-world that's just plain fun to imagine.","not available","https://ted.com/talks/richard_feynman","not available","https://ted.com","Mar 2010","Fascinating, Informative"
"Gary Flake","Technologist","Is Pivot a turning point for web exploration?","Gary Flake demos Pivot, a new way to browse and arrange massive amounts of images and data online. Built on breakthrough Seadragon technology, it enables spectacular zooms in and out of web databases, and  the discovery of patterns and links invisible in standard web browsing.","Gary Flake is a Technical Fellow at Microsoft, and the founder and director of Live Labs.","https://ted.com/talks/gary_flake_is_pivot_a_turning_point_for_web_exploration","not available","https://ted.com/speakers/gary_flake","Mar 2010","Ingenious, Fascinating"
"Harsha Bhogle","Cricket commentator","The rise of cricket, the rise of India","The tale of a major global cultural phenomenon: Cricket commentator Harsha Bhogle describes the spectacular arrival of fast-paced 20-20 cricket as it parallels the rise of modern India.  He traces the game from its sleepy English roots to the current world of celebrity owners and million-dollar player contracts.","Harsha Bhogle can talk about the business side of cricket, the technicalities of play and the psychology of the players with equal authority.","https://ted.com/talks/harsha_bhogle_the_rise_of_cricket_the_rise_of_india","not available","https://ted.com/speakers/harsha_bhogle","Mar 2010","Informative, Fascinating"
"Daniel Kahneman","Behavioral economics founder","The riddle of experience vs. memory","Using examples from vacations to colonoscopies, Nobel laureate and founder of behavioral economics Daniel Kahneman reveals how our ""experiencing selves"" and our ""remembering selves"" perceive happiness differently. This new insight has profound implications for economics, public policy — and our own self-awareness.","Widely regarded as the world's most influential living psychologist, Daniel Kahneman won the Nobel in Economics for his pioneering work in behavioral economics — exploring the irrational ways we make decisions about risk.","https://ted.com/talks/daniel_kahneman_the_riddle_of_experience_vs_memory","not available","https://ted.com/speakers/daniel_kahneman","Mar 2010","Fascinating, Informative"
